Sheet number,Sheet name,Sheet title
0,INDEX,GOS 2024 Tables and Figures
1,OVERALL_ALL_ALL_2Y_HEPTYPE,"Employment (FTE, OE, LF, SAL) and study outcomes among all course levels from all provider types by provider type, 2023 - 2024"
2,EMP_UG_ALL_2Y_AREA,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by study area"
3,EMP_PGC_ALL_2Y_AREA,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by study area"
4,EMP_PGR_ALL_2Y_AREA,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by study area"
5,EMP_UG_ALL_2Y_E315,"Employment outcomes (FTE, OE, LF) among undergraduates and all provider types by gender, 2023-2024"
6,EMP_PGC_ALL_2Y_E315,"Employment outcomes (FTE, OE, LF) among postgraduate coursework students and all provider types by gender, 2023-2024"
7,EMP_PGR_ALL_2Y_E315,"Employment outcomes (FTE, OE, LF) among postgraduate research students and all provider types by gender, 2023-2024"
8,EMP_UG_ALL_2Y_DG,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by demographic group"
9,EMP_PGC_ALL_2Y_DG,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by demographic group"
10,EMP_PGR_ALL_2Y_DG,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by demographic group"
11,EMP_UG_ALL_1Y_FTS,"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by full-time study status by gender, 2024"
12,EMP_PGC_ALL_1Y_FTS,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework students from all provider types by full-time study status by gender, 2024"
13,EMP_PGR_ALL_1Y_FTS,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate research students from all provider types by full-time study status by gender, 2024"
14,EMP_UG_ALL_2Y_AREA45,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from all provider types by 45 study areas"
15,EMP_PGC_ALL_2Y_AREA45,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate coursework students from all provider types by 45 study areas"
16,EMP_PGR_ALL_2Y_AREA45,"Employment outcomes (FTE, OE, LF), 2023-2024 among postgraduate research students from all provider types by 45 study areas"
17,EMP_UG_UNI_2Y_AREA,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by study area"
18,EMP_UG_NUHEI_2Y_AREA,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by study area"
19,EMP_UG_UNI_2Y_DG,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from universities by demographic group"
20,EMP_UG_NUHEI_2Y_DG,"Employment outcomes (FTE, OE, LF), 2023-2024 among undergraduates from non-university higher education institutes (NUHEIs) by demographic group"
21,EMP_UG_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by survey round, 2022-2024"
22,EMP_PGC_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework students from all provider types by survey round, 2022-2024"
23,EMP_PGR_ALL_3Y_PERIOD,"Employment outcomes (FTE, OE, LF, SAL) among postgraduate research students from all provider types by survey round, 2022-2024"
24,SAL_UG_ALL_2Y_AREA_E315,"Median annual full-time salaries ($) by gender, 2023 and 2024 among undergraduates from all provider types by study area"
