Sheet number,Sheet name,Sheet title
0,INDEX,GOS-L 2024 Tables and Figures
1,FTE_UG_ALL_5Y,Short-term and medium-term domestic full-time employment outcomes among undergraduates from all provider types by all years
2,FTE_ALL_ALL_1Y_AREA,"Short-term and medium-term full-time domestic employment outcomes by level of study, 2024, among all course levels from all provider types by study area"
3,STMT_UG_ALL_3Y,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL) among undergraduates from all provider types by year, 2022-2024"
4,STMT_PGC_ALL_3Y,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL) among postgraduate coursework graduates from all provider types by year, 2022-2024"
5,STMT_PGR_ALL_3Y,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL) among postgraduate research graduates from all provider types by year, 2022-2024"
6,STMT_UG_ALL_1Y_AREA,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among undergraduates from all provider types by study area"
7,STMT_PGC_ALL_1Y_AREA,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate coursework graduates from all provider types by study area"
8,STMT_PGR_ALL_1Y_AREA,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate research graduates from all provider types by study area"
9,STMT_UG_ALL_1Y_AREA45,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among undergraduates from all provider types by 45 study areas"
10,STMT_PGC_ALL_1Y_AREA45,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate coursework graduates from all provider types by 45 study areas"
11,STMT_PGR_ALL_1Y_AREA45,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate research graduates from all provider types by 45 study areas"
12,STMT_UG_ALL_1Y_ARSX,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL) by gender, 2024, among undergraduates from all provider types by study area"
13,STMT_PGC_ALL_1Y_ARSX,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL) by gender, 2024, among postgraduate coursework graduates from all provider types by study area"
14,HOURS_UG_ALL_3Y,"Domestic medium-term mean usual and actual hours worked by employment outcome (FT, PT, OE) among undergraduates from all provider types by year 2022-2024"
15,HOURS_PGC_ALL_3Y,"Domestic medium-term mean usual and actual hours worked by employment outcome (FT, PT, OE) among postgraduate coursework graduates from all provider types by year 2022-2024"
16,HOURS_PGR_ALL_3Y,"Domestic medium-term mean usual and actual hours worked by employment outcome (FT, PT, OE) among postgraduate research graduates from all provider types by year 2022-2024"
17,AWAY_UG_ALL_3Y,"Short-term and medium-term domestic away from work outcomes among undergraduates from all provider types by year, 2022-2024"
18,AWAY_PGC_ALL_3Y,"Short-term and medium-term domestic away from work outcomes among postgraduate coursework graduates from all provider types by year, 2022-2024"
19,AWAY_PGR_ALL_3Y,"Short-term and medium-term domestic away from work outcomes among postgraduate research graduates from all provider types by year, 2022-2024"
20,OCCO_UG_ALL_1Y_AREA,"Proportion domestic employed working in occupational groups, 2024, among undergraduates from all provider types by study area"
21,OCCO_PGC_ALL_1Y_AREA,"Proportion domestic employed working in occupational groups, 2024, among postgraduate coursework graduates from all provider types by study area"
22,OCCO_PGR_ALL_1Y_AREA,"Proportion domestic employed working in occupational groups, 2024, among postgraduate research graduates from all provider types by study area"
23,OCCF_UG_ALL_1Y_AREA,"Proportion domestic full-time employed working in occupational groups, 2024, among undergraduates from all provider types by study area"
24,OCCF_PGC_ALL_1Y_AREA,"Proportion domestic full-time employed working in occupational groups, 2024, among postgraduate coursework graduates from all provider types by study area"
25,OCCF_PGR_ALL_1Y_AREA,"Proportion domestic full-time employed working in occupational groups, 2024, among postgraduate research graduates from all provider types by study area"
26,RSOVRQ_UG_ALL_1Y_AREA,"Main reason for working in a job that doesn’t fully use skills and education, domestic, 2024, among undergraduates from all provider types by study area"
27,RSOVRQ_PGC_ALL_1Y_AREA,"Main reason for working in a job that doesn’t fully use skills and education, domestic, 2024, among postgraduate coursework graduates from all provider types by study area"
28,RSOVRQ_PGR_ALL_1Y_AREA,"Main reason for working in a job that doesn’t fully use skills and education, domestic, 2024, among postgraduate research graduates from all provider types by study area"
29,RSOVRQ_UG_ALL_1Y_MT,"Main reason for working in a job that doesn’t fully use skills and education among undergraduates and all provider types by medium-term domestic employment outcomes, 2024"
