study_area,discipline_family,family_colour_key,short_term_fte_pct,medium_term_fte_pct,source_key
Agriculture and environmental studies,"STEM, built & environmental",stronger,70.4,91.1,gos_l_6
Architecture and built environment,"STEM, built & environmental",stronger,65.7,87.1,gos_l_6
Business and management,"Business, law & society",weaker,74.1,93.8,gos_l_6
Communications,"Creative, communication & services",weakest,55.9,84.4,gos_l_6
Computing and information systems,"STEM, built & environmental",stronger,72.4,93.0,gos_l_6
Creative arts,"Creative, communication & services",weakest,49.6,81.3,gos_l_6
Dentistry,Health & education,strongest,93.0,97.1,gos_l_6
Engineering,"STEM, built & environmental",stronger,83.6,94.6,gos_l_6
Health services and support,Health & education,strongest,74.3,92.8,gos_l_6
"Humanities, culture and social sciences","Business, law & society",weaker,61.0,89.0,gos_l_6
Law and paralegal studies,"Business, law & society",weaker,73.6,95.8,gos_l_6
Medicine,Health & education,strongest,88.6,99.3,gos_l_6
Nursing,Health & education,strongest,77.6,93.3,gos_l_6
Pharmacy,Health & education,strongest,96.2,95.6,gos_l_6
Psychology,"Business, law & society",weaker,63.7,88.5,gos_l_6
Rehabilitation,Health & education,strongest,95.0,96.5,gos_l_6
Science and mathematics,"STEM, built & environmental",stronger,63.3,88.8,gos_l_6
Social work,"Business, law & society",weaker,74.7,92.1,gos_l_6
Teacher education,Health & education,strongest,81.8,95.7,gos_l_6
Veterinary science,Health & education,strongest,85.4,90.0,gos_l_6
